"","Player","Median","Mean","Carries","TotalYards"
"1","A.RODGERS",8,9,31,278
"2","J.CUTLER",8,8.9,22,196
"3","R.WILSON",7,9.1,94,858
"4","B.BORTLES",6,8.3,51,421
"5","R.TANNEHILL",6,8.5,39,331
"6","P.HARVIN",6,6.8,31,212
"7","M.RYAN",6,6.2,24,149
"8","M.VICK",6,7.1,22,156
"9","C.NEWTON",5,5.7,93,529
"10","C.KAEPERNICK",5,7.7,86,658
"11","A.LUCK",5,6.1,45,273
"12","R.FITZPATRICK",5,5.4,37,200
"13","T.AUSTIN",5,6.2,36,224
"14","R.GRIFFIN",5,5.6,34,191
"15","J.GRAY",4,4.6,90,410
"16","A.BRADSHAW",4,4.6,87,398
"17","D.HERRON",4,4.5,78,351
"18","R.TURBIN",4,4.1,74,305
"19","A.SMITH",4,6.4,63,402
"20","D.SPROLES",4,5.9,56,329
"21","K.WILLIAMS",4,4.6,53,245
"22","P.THOMAS",4,5.2,45,232
"23","R.HELU",4,5.4,40,216
"24","T.BRIDGEWATER",4,5.5,40,218
"25","K.CAREY",4,4.4,36,158
"26","J.GRIMES",4,3.9,34,131
"27","K.MORENO",4,4.8,31,148
"28","B.POWELL",4,4.2,30,125
"29","P.HILLIS",4,4.5,26,116
"30","P.RIVERS",4,4.7,24,113
"31","M.STAFFORD",4,5,22,111
"32","J.MCCOWN",4,5.8,21,122
"33","D.MURRAY",3,4.7,393,1841
"34","L.MCCOY",3,4,313,1267
"35","L.BELL",3,4.7,290,1361
"36","M.LYNCH",3,4.7,280,1307
"37","M.FORTE",3,3.9,265,1039
"38","A.MORRIS",3,4.1,264,1077
"39","A.FOSTER",3,4.8,256,1223
"40","F.GORE",3,4.5,252,1142
"41","E.LACY",3,4.7,244,1137
"42","J.FORSETT",3,5.4,234,1273
"43","M.INGRAM",3,4.3,226,964
"44","J.BELL",3,3.9,223,864
"45","L.MILLER",3,5,216,1088
"46","J.HILL",3,4.9,214,1053
"47","J.CHARLES",3,5,204,1026
"48","C.IVORY",3,4.1,197,811
"49","S.JACKSON",3,3.8,185,700
"50","J.STEWART",3,4.6,182,843
"51","C.ANDERSON",3,4.7,179,850
"52","T.MASON",3,4.3,178,767
"53","T.WEST",3,3.9,171,673
"54","G.BERNARD",3,4.1,167,679
"55","R.JENNINGS",3,3.8,167,639
"56","M.ASIATA",3,3.4,163,557
"57","B.OLIVER",3,3.6,160,582
"58","D.MCFADDEN",3,3.4,155,524
"59","B.SANKEY",3,3.8,153,578
"60","C.JOHNSON",3,4.2,150,635
"61","I.CROWELL",3,4.1,147,600
"62","F.JACKSON",3,3.7,142,526
"63","D.ROBINSON",3,4.4,136,594
"64","D.MARTIN",3,3.9,127,499
"65","L.BLOUNT",3,4.3,125,541
"66","J.MCKINNON",3,4.8,113,544
"67","A.DIXON",3,4.1,105,431
"68","R.HILLMAN",3,4.4,105,462
"69","T.GERHART",3,3.2,102,326
"70","D.WILLIAMS",3,3.5,99,345
"71","S.VEREEN",3,4.1,96,391
"72","B.RAINEY",3,4.3,94,403
"73","S.GREENE",3,4.2,92,390
"74","J.STARKS",3,4,85,340
"75","L.MURRAY",3,5.2,82,424
"76","C.HYDE",3,4,81,327
"77","Z.STACY",3,3.8,77,296
"78","K.ROBINSON",3,4.7,76,358
"79","R.BUSH",3,3.9,76,297
"80","L.TALIAFERRO",3,4.4,66,291
"81","B.CUNNINGHAM",3,3.8,65,248
"82","S.TAYLOR",3,3.3,63,208
"83","Y.MATHEWS",3,4.9,56,277
"84","J.THOMPSON",3,5,54,268
"85","G.SMITH",3,4.5,53,240
"86","J.RANDLE",3,6.3,50,315
"87","C.POLK",3,3.7,46,172
"88","A.DALTON",3,4.2,43,182
"89","B.BROWN",3,3.5,36,126
"90","C.MICHAEL",3,5.1,34,175
"91","F.WHITTAKER",3,4.7,31,146
"92","J.TODMAN",3,6.1,30,183
"93","L.DUNBAR",3,6,29,175
"94","N.THOMAS",3,2.9,29,84
"95","J.KUHN",3,3.7,23,85
"96","A.PETERSON",3,3.7,21,78
"97","J.BANYARD",3,4.2,21,88
"98","M.REECE",3,4,21,85
"99","S.RIDLEY",2.5,3.6,94,340
"100","J.RODGERS",2.5,3.6,58,208
"101","D.REAVES",2.5,2.4,32,77
"102","B.BOLDEN",2.5,3.3,28,93
"103","A.WILLIAMS",2,3.3,216,721
"104","A.ELLINGTON",2,3.2,200,647
"105","A.BLUE",2,3.1,169,528
"106","T.RICHARDSON",2,3.2,158,513
"107","K.DAVIS",2,3.6,133,479
"108","B.TATE",2,3.3,121,394
"109","B.PIERCE",2,3.9,93,364
"110","D.BROWN",2,2.7,84,225
"111","C.SPILLER",2,3.7,77,286
"112","C.SIMS",2,2.8,65,181
"113","D.FREEMAN",2,3.9,65,251
"114","M.BALL",2,3.1,55,172
"115","M.JONES",2,2.5,42,107
"116","D.MCCLUSTER",2,3.2,41,131
"117","M.TOLBERT",2,2.2,36,78
"118","S.JOHNSON",2,3,29,86
"119","J.FLACCO",2,3.5,24,85
